[2020-12-09 22:39:38,007] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:16} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:39:38,007] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:16} DEBUG - JSON IS VALID. Will save thread in DB.
[2020-12-09 22:39:38,135] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:18} DEBUG - Inserted Id: %s5fd1441a8bb9ac996882b7fd
[2020-12-09 22:39:38,135] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:18} DEBUG - Inserted Id: %s5fd1441a8bb9ac996882b7fd
[2020-12-09 22:39:38,139] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:29} ERROR - jsonschema ValidationError: 'users' is a required property
[2020-12-09 22:39:38,139] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:29} ERROR - jsonschema ValidationError: 'users' is a required property
[2020-12-09 22:39:38,139] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:39:38,139] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:39:38,142] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:29} ERROR - jsonschema ValidationError: [] is too short
[2020-12-09 22:39:38,142] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:29} ERROR - jsonschema ValidationError: [] is too short
[2020-12-09 22:39:38,142] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:39:38,142] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:39:38,144] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:29} ERROR - jsonschema ValidationError: ['User1'] is too short
[2020-12-09 22:39:38,144] {/Users/alma/PycharmProjects/flaskProject/app/thread/entity.py:29} ERROR - jsonschema ValidationError: ['User1'] is too short
[2020-12-09 22:39:38,145] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
[2020-12-09 22:39:38,145] {/Users/alma/PycharmProjects/flaskProject/app/thread/service.py:21} ERROR - JSON WAS INVALID. Will... idk yet.
